contest_id,index,name,rating,solved_count,tags
1302,A,Nash equilibrium,,278,
1301,F,Super Jaber,2600,562,"dfs and similar, graphs, implementation, shortest paths"
1301,E,Nanosoft,2500,773,"binary search, data structures, dp, implementation"
1301,D,Time to Run,2000,2791,"constructive algorithms, graphs, implementation"
1301,C,Ayoub's function,1700,5898,"binary search, combinatorics, greedy, math, strings"
1301,B,Motarack's Birthday,1500,8819,"binary search, greedy, ternary search"
1301,A,Three Strings,800,13695,"implementation, strings"
1300,B,Assigning to Classes,1000,12245,"greedy, implementation, sortings"
1300,A,Non-zero,800,14816,"implementation, math"
1299,E,So Mean,3400,55,"interactive, math"
1299,D,Around the World,3000,191,"bitmasks, combinatorics, dfs and similar, dp, graphs, graphs, math, trees"
1299,C,Water Balance,2100,2375,"data structures, geometry, greedy"
1299,B,Aerodynamic,1800,3874,geometry
1299,A,Anu Has a Function,1500,7933,"brute force, greedy, math"
1297,I,Falling Blocks,,13,"*special, data structures"
1297,H,Paint the String,,16,"*special, dp, strings"
1297,G,M-numbers,,45,"*special, dp, math"
1297,F,Movie Fan,,92,"*special, data structures, greedy, implementation, sortings"
1297,E,Modernization of Treeland,,154,"*special, dfs and similar, trees"
1297,D,Bonus Distribution ,,226,"*special, binary search, greedy, sortings"
1297,C,Dream Team,,348,"*special, greedy"
1297,B,Cartoons,,323,"*special, implementation, sortings"
1297,A,Likes Display,,789,"*special, implementation"
1296,F,Berland Beauty,2100,1692,"constructive algorithms, dfs and similar, greedy, sortings, trees"
1296,E2,String Coloring (hard version),2000,2892,"data structures, dp"
1296,E1,String Coloring (easy version),1800,4176,"constructive algorithms, dp, graphs, greedy, sortings"
1296,D,Fight with Monsters,1500,8690,"greedy, sortings"
1296,C,Yet Another Walking Robot,1500,9091,"data structures, implementation"
1296,B,Food Buying,900,16867,math
1296,A,Array with Odd Sum,800,19321,math
1295,F,Good Contest,2700,430,"combinatorics, dp, probabilities"
1295,E,Permutation Separation,2200,1531,"data structures, divide and conquer"
1295,D,Same GCDs,1800,4772,"math, number theory"
